property_name,lat,lon,loc1,loc2,loc3,loc4
Nhà Thuốc FPT Long Châu,10.788363799999999,106.6617026,797 Cách Mạng Tháng Tám,Phường 6,Tân Bình,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.8519541,106.63762279999999,5 Đ. Nguyễn Văn Quá,Đông Hưng Thuận,Quận 12,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu 2,10.7982333,106.5943612,36 Liên Khu 4-5,Bình Hưng Hoà B,Bình Tân,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc Long Châu,10.7894376,106.7899291,Phú Hữu,Quận 9,Thành phố Hồ Chí Minh,Vietnam
Nhà Thuốc FPT Long Châu,10.740957,106.657333,1313 Phạm Thế Hiển,Phường 5,Quận 8,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.8960299,106.689139,966 Hà Huy Giáp,Thạnh Lộc,Quận 12,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.969762,106.891151,9 Xa lộ Hà Nội,P,Thành phố Biên Hòa,"Đồng Nai 810000, Vietnam"
FPT Long Chau Pharmacy,10.701316199999999,106.7383339,24/10 Huỳnh Tấn Phát,TT. Nhà Bè,Nhà Bè,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Tây Long Châu,10.6872688,106.6530923,"A12/383, Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, Thành Phố Hồ Chí Minh",Phong Phú,Bình Chánh,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc Long Châu,10.363573599999999,106.3593681,114 Ấp Bắc,Phường 4,Thành phố Mỹ Tho,"Tiền Giang 84000, Vietnam"
Nhà thuốc Long Châu,10.359892199999999,107.08741529999999,406 Trương Công Định,Phường 8,Thành phố Vũng Tầu,"Bà Rịa - Vũng Tàu 780000, Vietnam"
Nhà Thuốc FPT Long Châu,10.766907999999999,106.64276799999999,176 Ông Ích Khiêm,Phường 5,Quận 11,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu 7,10.9320179,106.5527276,Tân Phú Trung,Củ Chi,Thành phố Hồ Chí Minh,Vietnam
Nhà Thuốc FPT Long Châu,10.852926499999999,106.7523238,108 Đ. Tô Ngọc Vân,Linh Tây,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.8519541,106.63762279999999,5 Đ. Nguyễn Văn Quá,Đông Hưng Thuận,Quận 12,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.8086158,106.61809799999999,408 Lê Trọng Tấn,Tây Thạnh,Tân Phú,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.854183299999999,106.665424,803 Thống Nhất,Phường 13,Gò Vấp,"Thành phố Hồ Chí Minh, Vietnam"
Nhà thuốc Long Châu,10.5000129,107.17302,109 Nguyễn Thanh Đằng,P,Bà Rịa,"Bà Rịa - Vũng Tàu 780000, Vietnam"
Nhà Thuốc Tây Long Châu,10.8666132,106.62738159999999,208 Tân Chánh Hiệp 10,Tân Chánh Hiệp,Quận 12,"Thành phố Hồ Chí Minh, Vietnam"
